X,Y,Z,C,
166.823,-168.25,3449.6,90,
166.823,-168.25,3449.8,90,
166.823,-168.25,3450,90,
166.823,-168.25,3450.2,90,
166.823,-168.25,3450.4,90,
166.823,-168.25,3450.6,90,
166.823,-168.25,3450.8,90,
166.823,-168.25,3451,90,
166.823,-168.25,3451.2,90,
166.823,-168.25,3451.4,90,
166.823,-168.25,3451.6,90,
166.823,-168.25,3451.8,90,
166.823,-168.25,3452,90,
166.823,-168.25,3452.2,90,
166.823,-168.25,3452.4,90,
166.823,-168.25,3452.6,90,
166.823,-168.25,3452.8,90,
166.823,-168.25,3453,90,
166.823,-168.25,3453.2,90,
166.823,-168.25,3453.4,90,
166.823,-168.25,3453.6,90,
166.823,-168.25,3453.8,90,
166.823,-168.25,3454,90,
166.823,-168.25,3454.2,90,
166.823,-168.25,3454.4,90,
166.823,-168.25,3454.6,90,
166.823,-168.25,3454.8,90,
166.823,-168.25,3455,90,
166.823,-168.25,3455.2,90,
166.823,-168.25,3455.4,90,
166.823,-168.25,3455.6,90,
166.823,-168.25,3455.8,90,
166.823,-168.25,3456,90,
166.823,-168.25,3456.2,90,
166.823,-168.25,3456.4,90,
166.823,-168.25,3456.6,90,
166.823,-168.25,3456.8,90,
166.823,-168.25,3457,90,
166.823,-168.25,3457.2,90,
166.823,-168.25,3457.4,90,
166.823,-168.25,3457.6,90,
166.823,-168.25,3457.8,90,
166.823,-168.25,3458,90,
166.823,-168.25,3458.2,90,
166.823,-168.25,3458.4,90,
166.823,-168.25,3458.6,90,
166.823,-168.25,3458.8,90,
166.823,-168.25,3459,90,
166.823,-168.25,3459.2,90,
166.823,-168.25,3459.4,90,
166.823,-168.25,3459.6,90,
166.823,-168.25,3459.8,90,
166.823,-168.25,3460,90,
166.823,-168.25,3460.2,90,
166.823,-168.25,3460.4,90,
166.823,-168.25,3460.6,90,
166.823,-168.25,3460.8,90,
166.823,-168.25,3461,90,
166.823,-168.25,3461.2,90,
166.823,-168.25,3461.4,90,
166.823,-168.25,3461.6,90,
166.823,-168.25,3461.8,90,
166.823,-168.25,3462,90,
166.823,-168.25,3462.2,90,
166.823,-168.25,3462.4,90,
166.823,-168.25,3462.6,90,
166.823,-168.25,3462.8,90,
166.823,-168.25,3463,90,
166.823,-168.25,3463.2,90,
166.823,-168.25,3463.4,90,
166.823,-168.25,3463.6,90,
166.823,-168.25,3463.8,90,
166.823,-168.25,3464,90,
166.823,-168.25,3464.2,90,
166.823,-168.25,3464.4,90,
166.823,-168.25,3464.6,90,
166.823,-168.25,3464.8,90,
166.823,-168.25,3465,90,
166.823,-168.25,3465.2,90,
166.823,-168.25,3465.4,90,
166.823,-168.25,3465.6,90,
166.823,-168.25,3465.8,90,
166.823,-168.25,3466,90,
166.823,-168.25,3466.2,90,
166.823,-168.25,3466.4,90,
166.823,-168.25,3466.6,90,
166.823,-168.25,3466.8,90,
166.823,-168.25,3467,90,
166.823,-168.25,3467.2,90,
166.823,-168.25,3467.4,90,
166.823,-168.25,3467.6,90,
166.823,-168.25,3467.8,90,
166.823,-168.25,3468,90,
166.823,-168.25,3468.2,90,
166.823,-168.25,3468.4,90,
166.823,-168.25,3468.6,90,
