time_s,s_mm,v_mm_s,X,Y,Z,dangerous
4.9,362.3822218498663,49.060627695536205,107.0,169.5154241397559,26.938553331669453,0.0
4.95,364.7227532346431,46.81062769553621,107.0,171.78090022552587,26.35061334393663,0.0
5.0,366.9507846194199,44.56062769553622,107.0,173.93891117871908,25.796458243855163,0.0
5.050000000000001,369.0663160041967,42.31062769553618,107.0,175.99026047898695,25.279347922724874,0.0
5.1000000000000005,371.0693473889735,40.0606276955362,107.0,177.9360233055144,24.803845664824735,0.0
5.15,372.9598787737503,37.810627695536205,107.0,179.777029976524,24.37401887709202,0.0
5.2,374.7379101585271,35.56062769553621,107.0,181.51456648638361,23.996850888052403,0.0
5.25,376.40344154330387,33.310627695536226,107.0,183.14991015498913,23.681482967387716,0.0
5.300000000000001,377.9564729280807,31.060627695536184,107.0,184.68277691928213,23.432477117882915,0.0
5.3500000000000005,379.39700431285746,28.810627695536198,107.0,186.11192639205765,23.25245034861674,0.0
5.4,380.72503569763427,26.560627695536198,107.0,187.4345636138433,23.133686159760558,0.0
5.45,381.94056708241106,24.310627695536212,107.0,188.64803329246237,23.06371206214994,0.0
5.5,383.04359846718785,22.060627695536226,106.99999999999999,189.75040508946577,23.026151898210685,0.0
5.550000000000001,384.0341298519647,19.810627695536184,107.0,190.74077333339332,23.008672266666068,0.0
5.6000000000000005,384.91216123674144,17.560627695536198,107.0,191.61877247252409,23.00144613763738,0.0
5.65,385.67769262151825,15.310627695536198,107.0,192.3842977421674,22.999000000000002,0.0
5.7,386.33072400629504,13.060627695536212,107.0,193.03732912667897,22.999,0.0
5.75,386.8712553910718,10.810627695536226,107.0,193.57786051175313,22.999,0.0
5.800000000000001,387.3712553910718,10.0,107.0,194.0778605112531,22.999000000000002,1.0
5.800000000000001,387.8712553910718,10.0,107.0,194.5778580117688,23.0,1.0
5.854545454545455,388.3712553910718,10.0,107.0,195.07783871299463,22.99743961739204,1.0
5.90909090909091,388.8712553910718,10.0,107.0,195.5694411125201,22.914814310203113,1.0
5.963636363636365,389.3712553910718,10.0,107.0,196.026244912904,22.715275676847497,1.0
6.0181818181818185,389.8712553910718,10.0,107.0,196.41804690848232,22.407188814234175,1.0
6.072727272727273,390.3712553910718,10.0,107.0,196.72348830038555,22.01312931051134,1.0
6.127272727272728,390.8712553910718,10.0,107.0,196.91903235356824,21.554693504930782,1.0
6.1818181818181825,391.3712553910718,10.0,107.0,196.99800938570093,21.06243734712973,1.0
6.236363636363637,391.8712553910718,10.0,107.0,197.0,20.5625069329907,1.0
6.290909090909092,392.3712553910718,10.0,107.0,197.0,20.062506933490674,1.0
6.345454545454547,392.8712553910718,10.0,107.0,197.0,19.562506932990644,0.0
6.4,393.3712553910718,10.0,107.0,197.0,19.062506933490617,0.0
6.4,393.8712553910718,10.0,107.0,197.0,18.562506932990587,0.0
6.45,394.48375539107184,12.25,107.0,197.0,17.95000693305304,0.0
6.5,395.2087553910718,14.5,107.00000000000001,197.0,17.22500693267804,0.0
6.550000000000001,396.04625539107184,16.75,107.0,197.0,16.387506932865453,0.0
6.6000000000000005,396.9962553910718,19.0,107.0,197.0,15.43750693361541,0.0
6.65,398.0587553910718,21.25,107.0,197.0,14.37500693292785,0.0
6.7,399.23375539107184,23.5,107.0,197.0,13.200006932802772,0.0
6.75,400.5212553910718,25.75,107.0,197.0,11.912506933240234,0.0
6.800000000000001,401.92125539107184,27.999999999999986,107.0,197.0,10.512506933240118,0.0
6.8500000000000005,403.2087553910718,25.749999999999986,107.00000000000001,197.0,9.225006932677582,0.0
6.9,404.3837553910718,23.499999999999986,107.0,197.0,8.050006933552503,0.0
6.95,405.4462553910718,21.249999999999986,107.0,197.0,6.987506932864941,0.0
7.0,406.3962553910718,18.999999999999982,107.0,197.0,6.037506933614898,0.0
7.050000000000001,407.23375539107184,16.749999999999986,107.0,197.0,5.200006932802317,0.0
7.1000000000000005,407.9587553910718,14.499999999999984,107.0,197.0,4.47500693342731,0.0
7.15,408.5712553910718,12.249999999999986,107.0,197.0,3.862506933489764,1.0
7.2,409.0712553910718,10.0,107.0,197.0,3.362506932989735,1.0
7.2,409.5712553910718,10.0,107.0,196.99400141568051,2.8626118765858104,1.0
7.254545454545455,410.0712553910718,10.0,107.0,196.89656509666162,2.373858511831461,1.0
7.3090909090909095,410.5712553910718,10.0,107.0,196.6840351176098,1.9229013884048465,1.0
7.363636363636364,411.0712553910718,10.0,107.0,196.3643650028681,1.5404385836778856,1.0
7.418181818181818,411.5712553910718,10.0,107.0,195.96100816037847,1.2473769797615193,1.0
7.472727272727273,412.0712553910718,10.0,107.0,195.49713704893838,1.0649202117954013,1.0
7.527272727272727,412.5712553910718,10.0,107.0,195.00266355062072,1.0010719015324907,1.0
7.581818181818182,413.0712553910718,10.0,107.0,194.50268508718258,1.0,1.0
7.636363636363637,413.5712553910718,10.0,107.0,194.00268508768255,1.0,1.0
7.690909090909091,414.0712553910718,10.0,107.0,193.50268508718256,1.0,0.0
7.745454545454546,414.5712553910718,10.0,107.0,193.00268508768255,1.0,0.0
7.800000000000001,415.0712553910718,10.0,107.0,192.50268508718258,1.0,0.0
7.800000000000001,415.5712553910718,10.0,107.0,192.00268508768255,1.0,0.0
7.8500000000000005,416.1837553910718,12.25,107.0,191.39018508774507,1.0,0.0
7.9,416.9087553910718,14.5,107.0,190.66518508737008,1.0,0.0
7.950000000000001,417.7462553910718,16.75,107.0,189.82768508755754,1.0,0.0
8.0,418.6962553910718,19.0,107.0,188.87768508730753,1.0,0.0
8.05,419.7587553910718,21.25,107.0,187.81518508762005,1.0,0.0
8.100000000000001,420.9337553910718,23.5,107.0,186.64018508749507,1.0,0.0
8.15,422.2212553910718,25.75,107.0,185.3526850869326,1.0,0.0
8.200000000000001,423.6212553910718,28.0,107.0,183.95268508693255,1.0,0.0
8.25,425.1337553910718,30.25,107.0,182.44018508749508,1.0,0.0
8.3,426.7587553910718,32.5,107.0,180.81518508762005,1.0,0.0
8.350000000000001,428.4962553910718,34.75,107.0,179.07768508730754,1.0,0.0
8.4,430.3462553910718,37.0,107.0,177.22769500260642,1.002483049973936,0.0
8.450000000000001,432.3087553910718,39.25,107.0,175.26762969202017,1.0928296246383862,0.0
8.5,434.3837553910718,41.5,107.0,173.2062935485474,1.3269065004652807,0.0
8.55,436.5712553910718,43.75,107.0,171.05622576976845,1.7272168815382385,0.0
8.600000000000001,438.8712553910718,46.0,107.0,168.8335774773424,2.3164446535957977,0.0
8.65,441.2837553910718,48.25000000000001,107.0,166.5577972750055,3.1150849404548415,0.0
8.700000000000001,443.8087553910718,50.5,107.0,164.25264788143951,4.14370218251645,0.0
8.75,446.4462553910718,52.75,107.0,161.9461428195563,5.421235317332872,0.0
8.8,449.1962553910718,55.0,107.0,159.67065434553996,6.963777222861762,0.0
8.850000000000001,451.83263501975046,52.72759257357262,107.0,157.63035507223847,8.63206322362447,0.0
8.9,454.3440146484291,50.22759257357262,107.0,155.83008769996093,10.382031039896132,0.0
8.950000000000001,456.73039427710773,47.727592573572615,107.0,154.2608133795697,12.178992958627974,0.0
9.0,458.9917739057863,45.227592573572615,107.0,152.90968893367022,13.991693112965663,0.0
9.05,461.12815353446496,42.72759257357262,107.0,151.76241976991452,15.793330493116713,0.0
9.100000000000001,463.1395331631436,40.22759257357262,107.0,150.80138101937163,17.559824206131704,0.0
9.15,465.02591279182224,37.72759257357262,107.0,150.01009192414858,19.271871718365563,0.0
9.200000000000001,466.7872924205009,35.227592573572615,107.0,149.369749260822,20.912423726934936,0.0
9.25,468.42367204917946,32.727592573572615,107.0,148.8608683519552,22.467451364725104,0.0
9.3,469.9350516778581,30.227592573572622,107.0,148.46815275590984,23.92675761153109,0.0
9.350000000000001,471.32143130653674,27.727592573572622,107.0,148.17263263505916,25.281141339298447,0.0
9.4,472.5828109352154,25.22759257357262,107.0,147.958273163233,26.524072894769763,0.0
9.450000000000001,473.719190563894,22.727592573572615,107.0,147.81009807741157,27.65067742054376,0.0
9.5,474.7305701925726,20.227592573572615,107.0,147.7144299441496,28.657465069639315,0.0
9.55,475.61694982125124,17.727592573572622,106.99999999999999,147.65804971679796,29.542005664040886,0.0
9.600000000000001,476.3783294499299,15.227592573572622,107.0,147.63050354829153,30.30285806833898,0.0
9.65,477.0147090786085,12.727592573572615,107.0,147.62183829400547,30.93917059945501,0.0
9.700000000000001,477.52608870728716,10.227592573572615,107.0,147.61672475341499,31.45052465851306,0.0
9.75,477.91246833596574,7.727592573572615,106.99999999999994,147.61286115032283,31.836884967727286,0.0
9.8,478.1738479646444,5.227592573572622,107.0,147.61024748472914,32.0982515270978,0.0
9.850000000000001,478.310227593323,2.7275925735726076,107.0,147.608883756634,32.23462433662456,0.0
9.9,478.32160722200166,0.22759257357261475,107.0,147.60876996603702,32.24600339630754,0.0
9.950000000000001,478.32160722200166,0.0,107.0,147.60876996603702,32.24600339630754,0.0
