X,Y,Z,C,
166.823,-168.25,3362.2,0,
166.823,-168.25,3362.4,0,
166.823,-168.25,3362.6,0,
166.823,-168.25,3362.8,0,
166.823,-168.25,3363,0,
166.823,-168.25,3363.2,0,
166.823,-168.25,3363.4,0,
166.823,-168.25,3363.6,0,
166.823,-168.25,3363.8,0,
166.823,-168.25,3364,0,
166.823,-168.25,3364.2,0,
166.823,-168.25,3364.4,0,
166.823,-168.25,3364.6,0,
166.823,-168.25,3364.8,0,
166.823,-168.25,3365,0,
166.823,-168.25,3365.2,0,
166.823,-168.25,3365.4,0,
166.823,-168.25,3365.6,0,
166.823,-168.25,3365.8,0,
166.823,-168.25,3366,0,
166.823,-168.25,3366.2,0,
166.823,-168.25,3366.4,0,
166.823,-168.25,3366.6,0,
166.823,-168.25,3366.8,0,
166.823,-168.25,3367,0,
166.823,-168.25,3367.2,0,
166.823,-168.25,3367.4,0,
166.823,-168.25,3367.6,0,
166.823,-168.25,3367.8,0,
166.823,-168.25,3368,0,
166.823,-168.25,3368.2,0,
166.823,-168.25,3368.4,0,
166.823,-168.25,3368.6,0,
166.823,-168.25,3368.8,0,
166.823,-168.25,3369,0,
166.823,-168.25,3369.2,0,
166.823,-168.25,3369.4,0,
166.823,-168.25,3369.6,0,
166.823,-168.25,3369.8,0,
166.823,-168.25,3370,0,
166.823,-168.25,3370.2,0,
166.823,-168.25,3370.4,0,
166.823,-168.25,3370.6,0,
166.823,-168.25,3370.8,0,
166.823,-168.25,3371,0,
166.823,-168.25,3371.2,0,
166.823,-168.25,3371.4,0,
166.823,-168.25,3371.6,0,
166.823,-168.25,3371.8,0,
166.823,-168.25,3372,0,
166.823,-168.25,3372.2,0,
166.823,-168.25,3372.4,0,
166.823,-168.25,3372.6,0,
166.823,-168.25,3372.8,0,
166.823,-168.25,3373,0,
166.823,-168.25,3373.2,0,
166.823,-168.25,3373.4,0,
166.823,-168.25,3373.6,0,
166.823,-168.25,3373.8,0,
166.823,-168.25,3374,0,
166.823,-168.25,3374.2,0,
166.823,-168.25,3374.4,0,
166.823,-168.25,3374.6,0,
166.823,-168.25,3374.8,0,
166.823,-168.25,3375,0,
166.823,-168.25,3375.2,0,
166.823,-168.25,3375.4,0,
166.823,-168.25,3375.6,0,
166.823,-168.25,3375.8,0,
166.823,-168.25,3376,0,
166.823,-168.25,3376.2,0,
166.823,-168.25,3376.4,0,
166.823,-168.25,3376.6,0,
166.823,-168.25,3376.8,0,
166.823,-168.25,3377,0,
166.823,-168.25,3377.2,0,
166.823,-168.25,3377.4,0,
166.823,-168.25,3377.6,0,
166.823,-168.25,3377.8,0,
166.823,-168.25,3378,0,
166.823,-168.25,3378.2,0,
166.823,-168.25,3378.4,0,
166.823,-168.25,3378.6,0,
166.823,-168.25,3378.8,0,
166.823,-168.25,3379,0,
166.823,-168.25,3379.2,0,
166.823,-168.25,3379.4,0,
166.823,-168.25,3379.6,0,
166.823,-168.25,3379.8,0,
166.823,-168.25,3380,0,
166.823,-168.25,3380.2,0,
166.823,-168.25,3380.4,0,
166.823,-168.25,3380.6,0,
166.823,-168.25,3380.8,0,
166.823,-168.25,3381,0,
166.823,-168.25,3381.2,0,
166.823,-168.25,3381.4,0,
166.823,-168.25,3381.6,0,
166.823,-168.25,3381.8,0,
166.823,-168.25,3382,0,
166.823,-168.25,3382.2,0,
166.823,-168.25,3382.4,0,
166.823,-168.25,3382.6,0,
166.823,-168.25,3382.8,0,
166.823,-168.25,3383,0,
166.823,-168.25,3383.2,0,
166.823,-168.25,3383.4,0,
166.823,-168.25,3383.6,0,
166.823,-168.25,3383.8,0,
166.823,-168.25,3384,0,
166.823,-168.25,3384.2,0,
166.823,-168.25,3384.4,0,
166.823,-168.25,3384.6,0,
166.823,-168.25,3384.8,0,
166.823,-168.25,3385,0,
166.823,-168.25,3385.2,0,
166.823,-168.25,3385.4,0,
166.823,-168.25,3385.6,0,
166.823,-168.25,3385.8,0,
166.823,-168.25,3386,0,
166.823,-168.25,3386.2,0,
166.823,-168.25,3386.4,0,
166.823,-168.25,3386.6,0,
166.823,-168.25,3386.8,0,
166.823,-168.25,3387,0,
166.823,-168.25,3387.2,0,
166.823,-168.25,3387.4,0,
166.823,-168.25,3387.6,0,
166.823,-168.25,3387.8,0,
166.823,-168.25,3388,0,
166.823,-168.25,3388.2,0,
166.823,-168.25,3388.4,0,
166.823,-168.25,3388.6,0,
166.823,-168.25,3388.8,0,
166.823,-168.25,3389,0,
166.823,-168.25,3389.2,0,
166.823,-168.25,3389.4,0,
166.823,-168.25,3389.6,0,
166.823,-168.25,3389.8,0,
