p1,v1,p2,v2,p3,v3,p4,v4,dt
360.0,0.0,35.56445194254252,131.29084256041494,-123.25645132627892,-252.08202019218618,-118.453125,-255.9375,50
360.0,0.0,42.128994070563266,140.79691393136784,-135.86055233588823,-254.1341495312946,-131.25,-255.9375,50
360.0,0.0,49.16883976713166,142.6556144020239,-148.56725981245296,-244.15564384433765,-144.046875,-242.8125,50
360.0,0.0,56.30162048723285,143.5043994531,-160.77504200466984,-234.79139170557175,-156.1875,-229.6875,50
360.0,0.0,63.47684045988785,143.44820196562722,-172.51461158994843,-225.83094794276406,-167.671875,-216.5625,50
360.0,0.0,70.64925055816921,142.55046308952615,-183.80615898708663,-217.08947079559948,-178.5,-203.4375,50
360.0,0.0,77.77677371264552,140.84073364336405,-194.6606325268666,-208.3978526635667,-188.671875,-190.3125,50
360.0,0.0,84.81881039481372,138.3198364415037,-205.08052516004494,-199.59530737068008,-198.1875,-177.1875,50
360.0,0.0,91.73480221688891,134.9635130035992,-215.06029052857895,-190.52383462242688,-207.046875,-164.06250000000057,50
360.0,0.0,98.48297786706887,130.72532053384833,-224.5864822597003,-181.02434815366166,-215.25000000000003,-150.93749999999943,50
360.0,0.0,105.01924389376128,125.53952047257013,-233.63769966738337,-170.93457505400522,-222.796875,-137.8125,50
360.0,0.0,111.29621991738979,119.32477163652067,-242.18442842008363,-160.0891428488535,-229.6875,-124.6875,50
360.0,0.0,117.26245849921582,111.989565501014,-250.1888855625263,-148.3225636904865,-235.921875,-111.56250000000057,50
360.0,0.0,122.86193677426652,103.440441858491,-257.60501374705063,-135.47604229163994,-241.50000000000003,-98.43749999999943,50
360.0,0.0,128.03395886719107,93.59396216898972,-264.37881586163263,-121.40903752315694,-246.421875,-85.3125,50
360.0,0.0,132.71365697564056,82.39298346246528,-270.4492677377905,-106.01606817819288,-250.6875,-72.18750000000057,50
360.0,0.0,136.83330614876382,69.82672280743259,-275.7500711467001,-89.24810112919772,-254.29687500000003,-59.06249999999943,50
360.0,0.0,140.32464228913545,55.95230528525008,-280.21247620316,-71.13585633632397,-257.25,-45.93750000000114,50
360.0,0.0,143.12225755339796,40.91322063793825,-283.7692690199762,-51.809818526170375,-259.54687500000006,-32.8125,50
360.0,0.0,145.16791858529487,24.948318685409276,-286.3597599462847,-31.509726431565923,-261.18750000000006,-19.687499999998863,50
360.0,0.0,146.41533451956533,8.385154167194742,-287.935246267863,-10.576516392773101,-262.171875,-6.562500000001137,50
360.0,0.0,146.83459222792507,0.0,-288.4640720875017,0.0,-262.50000000000006,0.0,50
360.0,0.0,146.83459222792507,-11.78932338233551,-288.4640720875017,25.547392990617936,-262.5,-11.25,50
360.0,0.0,146.2451260588083,-34.4312950127005,-287.1867024379708,75.80858430647595,-263.0625,-33.75,50
360.0,0.0,144.52356130817327,-54.4379868319038,-283.396273222647,123.77318894109976,-264.75,-56.25,50
360.0,0.0,141.80166196657808,-70.55054193167393,-277.207613775592,168.49588387625658,-267.5625,-78.75,50
360.0,0.0,138.27413486999438,-82.02577137435696,-268.78281958177917,209.65038695336943,-271.5,-101.25,50
360.0,0.0,134.17284630127654,-88.54247848050704,-258.3003002341107,247.4415437695484,-276.5625,-123.75,50
360.0,0.0,129.74572237725118,-90.02909881455395,-245.92822304563327,282.4313938190937,-282.75,-146.25,50
360.0,0.0,125.24426743652349,-86.49446049529814,-231.8066533546786,315.3719206004189,-290.0625,-168.75,50
360.0,0.0,120.91954441175858,-77.8995939974692,-216.03805732465764,347.0872230490812,-298.5,-191.25,50
360.0,0.0,117.02456471188512,-64.07343873486866,-198.68369617220358,378.40739591576494,-308.0625,-213.75,50
360.0,0.0,113.82089277514169,-44.660794608029164,-179.76332637641534,410.13827928786327,-318.75,-236.25,50
