X,Y,Z,C,,
166.823,-168.25,3357.6,90,,
166.823,-168.25,3357.8,90,,
166.823,-168.25,3358,90,,
166.823,-168.25,3358.2,90,,
166.823,-168.25,3358.4,90,,
166.823,-168.25,3358.6,90,,
166.823,-168.25,3358.8,90,,
166.823,-168.25,3359,90,,
166.823,-168.25,3359.2,90,,
166.823,-168.25,3359.4,90,,
166.823,-168.25,3359.6,90,,
166.823,-168.25,3359.8,90,,
166.823,-168.25,3360,90,,
166.823,-168.25,3360.2,90,,
166.823,-168.25,3360.4,90,,
166.823,-168.25,3360.6,90,,
166.823,-168.25,3360.8,90,,
166.823,-168.25,3361,90,,
166.823,-168.25,3361.2,90,,
166.823,-168.25,3361.4,90,,
166.823,-168.25,3361.6,90,,
166.823,-168.25,3361.8,90,,
166.823,-168.25,3362,90,,
166.823,-168.25,3362.2,90,,
166.823,-168.25,3362.4,90,,
166.823,-168.25,3362.6,90,,
166.823,-168.25,3362.8,90,,
166.823,-168.25,3363,90,,
166.823,-168.25,3363.2,90,,
166.823,-168.25,3363.4,90,,
166.823,-168.25,3363.6,90,,
166.823,-168.25,3363.8,90,,
166.823,-168.25,3364,90,,
166.823,-168.25,3364.2,90,,
166.823,-168.25,3364.4,90,,
166.823,-168.25,3364.6,90,,
166.823,-168.25,3364.8,90,,
166.823,-168.25,3365,90,,
166.823,-168.25,3365.2,90,,
166.823,-168.25,3365.4,90,,
166.823,-168.25,3365.6,90,,
166.823,-168.25,3365.8,90,,
166.823,-168.25,3366,90,,
166.823,-168.25,3366.2,90,,
166.823,-168.25,3366.4,90,,
166.823,-168.25,3366.6,90,,
166.823,-168.25,3366.8,90,,
166.823,-168.25,3367,90,,
166.823,-168.25,3367.2,90,,
166.823,-168.25,3367.4,90,,
166.823,-168.25,3367.6,90,,
166.823,-168.25,3367.8,90,,
166.823,-168.25,3368,90,,
166.823,-168.25,3368.2,90,,
166.823,-168.25,3368.4,90,,
166.823,-168.25,3368.6,90,,
166.823,-168.25,3368.8,90,,
166.823,-168.25,3369,90,,
166.823,-168.25,3369.2,90,,
166.823,-168.25,3369.4,90,,
166.823,-168.25,3369.6,90,,
166.823,-168.25,3369.8,90,,
166.823,-168.25,3370,90,,
166.823,-168.25,3370.2,90,,
166.823,-168.25,3370.4,90,,
166.823,-168.25,3370.6,90,,
166.823,-168.25,3370.8,90,,
166.823,-168.25,3371,90,,
166.823,-168.25,3371.2,90,,
166.823,-168.25,3371.4,90,,
166.823,-168.25,3371.6,90,,
166.823,-168.25,3371.8,90,,
